path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
189,0.0,0.0,72.73491025397445,0.8431627243650639,-0.02634726167023904,0,0
190,0.0,0.0,84.434787101213,0.8139130322469674,-0.03679586901970977,0,0
191,0.0,0.0,80.55087840448616,0.8236228039887846,-0.09030629430949266,0,0
192,250.0,2024344.2229786762,500.0,0.05,-0.0811693968063455,0,1
193,0.0,0.0,106.52598353324511,0.7586850411668872,-0.05040871495767152,0,0
194,0.0,0.0,97.95998516079462,0.7801000370980135,-0.0325548832006719,0,0
195,0.0,0.0,114.35868067072653,0.7391032983231837,-0.10461046461855206,0,0
196,0.0,0.0,93.69832685906127,0.7907541828523468,-0.05363239925543517,0,0
197,0.0,0.0,71.08437454312948,0.8472890636421763,-0.03721468079803536,0,0
198,0.0,0.0,89.58486287097875,0.8010378428225531,-0.04689703170652704,0,0
199,0.0,0.0,96.63617042608124,0.7834095739347969,-0.054636208933868446,0,0
200,0.0,0.0,84.01678516979761,0.814958037075506,-0.026668699602439894,0,0
201,0.0,0.0,92.07892397955715,0.7948026900511072,-0.03225640943851793,0,0
202,0.0,0.0,85.30781718035466,0.8117304570491133,-0.03534548820250272,0,0
203,250.0,2024344.2229786762,500.0,0.05,-0.04459037100205887,0,1
204,250.0,2024344.2229786762,500.0,0.05,-0.0331611997040091,0,1
205,0.0,0.0,92.26682637228718,0.794332934069282,-0.0511442133845168,0,0
206,250.0,2024344.2229786762,500.0,0.05,-0.05164203204335793,0,1
207,0.0,0.0,84.78380066103868,0.8130404983474033,-0.038202014154079644,0,0
208,250.0,2024344.2229786762,500.0,0.05,-0.030052784760950746,0,1
209,0.0,0.0,111.54285780333196,0.74614285549167,-0.0899793902169509,0,0
210,0.0,0.0,85.56773788809137,0.8110806552797716,-0.1001921391350531,0,0
211,0.0,0.0,93.0708862711109,0.7923227843222227,-0.023115752043412208,0,0
212,0.0,0.0,73.92324000319391,0.8401918999920152,-0.051214685843440466,0,0
213,0.0,0.0,87.01470492079066,0.8074632376980233,-0.03211021344799647,0,0
214,0.0,0.0,74.83469048797078,0.8379132737800731,-0.023979894634729382,0,0
215,0.0,0.0,94.91221234549008,0.7877194691362748,-0.0566120389173006,0,0
216,250.0,2024344.2229786762,500.0,0.05,-0.04779265395428445,0,1
217,250.0,2024344.2229786762,500.0,0.05,-0.04594361509338807,0,1
218,0.0,0.0,106.32856831024272,0.7591785792243932,-0.032436160212602205,0,0
219,0.0,0.0,98.63324531448956,0.7784168867137761,-0.08401104604239673,0,0
220,0.0,0.0,85.77967715670856,0.8105508071082286,-0.027744974739856598,0,0
221,0.0,0.0,96.74716161775325,0.7831320959556168,-0.0396446614961492,0,0
222,0.0,0.0,85.9682457905055,0.8100793855237363,-0.025446923896340956,0,0
223,0.0,0.0,105.76034833464281,0.7605991291633929,-0.035973836141975024,0,0
224,0.0,0.0,109.389953967186,0.751525115082035,-0.039328327605008706,0,0
225,0.0,0.0,93.99325477350979,0.7900168630662255,-0.05616639832587267,0,0
226,250.0,2024344.2229786762,500.0,0.05,-0.0636978551982822,0,1
227,0.0,0.0,84.00982539906563,0.8149754365023358,-0.05692093038044932,0,0
228,0.0,0.0,102.23650098178712,0.7694087475455322,-0.03336875885094448,0,0
229,250.0,2024344.2229786762,500.0,0.05,-0.03329557113790249,0,1
230,250.0,2024344.2229786762,500.0,0.05,-0.05238247279783248,0,1
231,0.0,0.0,87.82543675801087,0.8054364081049729,-0.07175970379189411,0,0
232,250.0,2024344.2229786762,500.0,0.05,-0.1414315835746226,0,0
233,0.0,0.0,73.3269888214105,0.8416825279464737,-0.022045136330786752,0,0
234,0.0,0.0,82.8541890423609,0.8178645273940978,-0.05615943332315443,0,0
235,0.0,0.0,101.4036950591884,0.771490762352029,-0.037869476710831074,0,0
236,0.0,0.0,95.75628560894283,0.7856092859776429,-0.053802199395060146,0,0
237,0.0,0.0,103.87241584172085,0.7653189603956978,-0.043801304429337495,0,0
238,250.0,2024344.2229786762,500.0,0.05,-0.02814563035397344,0,1
239,250.0,2024344.2229786762,500.0,0.05,-0.039500463595215085,0,1
240,0.0,0.0,106.79323497264215,0.7580169125683947,-0.028726437749946765,0,0
241,0.0,0.0,91.444513179339,0.7963887170516525,-0.04422487631248517,0,0
242,250.0,2024344.2229786762,500.0,0.05,-0.07223726672271114,0,0
243,0.0,0.0,82.66795697489245,0.8183301075627689,-0.04425027822606231,0,0
244,0.0,0.0,90.8723340647433,0.7978191648381417,-0.08730598140090118,0,0
245,0.0,0.0,97.27875525329726,0.7818031118667568,-0.021656273575960783,0,0
246,0.0,0.0,92.90290012542471,0.7927427496864382,-0.03199694098379402,0,0
247,0.0,0.0,96.35524187046803,0.7841118953238299,-0.020193811592456812,0,0
248,250.0,2024344.2229786762,500.0,0.05,-0.05038312437062331,0,0
249,0.0,0.0,95.50293625341871,0.7862426593664532,-0.03154675087977288,0,0
250,0.0,0.0,105.64476484996122,0.760888087875097,-0.034820147833191206,0,0
251,0.0,0.0,103.88355023072705,0.7652911244231824,-0.09357871091659897,0,0
252,0.0,0.0,105.19359029616359,0.762016024259591,-0.08332963465870524,0,0
253,0.0,0.0,94.88099347044361,0.787797516323891,-0.04111632768233653,0,0
254,0.0,0.0,113.09752261324583,0.7422561934668854,-0.04790847434446022,0,0
255,250.0,2024344.2229786762,500.0,0.05,-0.08350983751121754,0,0
256,0.0,0.0,85.90654843805277,0.810233628904868,-0.029602451899818583,0,0
257,250.0,2024344.2229786762,500.0,0.05,-0.06814783527208712,0,1
258,250.0,2024344.2229786762,500.0,0.05,-0.11209097169739002,0,1
259,0.0,0.0,85.66397011246966,0.8108400747188258,-0.05512923307909878,0,0
260,250.0,2024344.2229786762,500.0,0.05,-0.0558280695980532,0,1
261,0.0,0.0,97.38959683734143,0.7815260079066464,-0.058704355981059164,0,0
262,0.0,0.0,107.07971601550915,0.7573007099612271,-0.07585134153659301,0,0
263,250.0,2024344.2229786762,500.0,0.05,-0.05309121639585912,0,1
